                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 116.28,                      0,                      0,                      0,                      0,                      0,                      0,                  23.75,                      0,                0.09901,                  1e-05,                  1e-05
                      2,                      0,                 120.18,                      0,                      0,                      0,                      0,                      0,                      0,                 23.797,                      0,               0.097029,             2.8515e-05,             2.8515e-05
                      3,                      0,                 124.72,                      0,                      0,                      0,                      0,                      0,                      0,                 23.797,                      0,               0.095045,              4.505e-05,              4.505e-05
                      4,                      0,                 124.86,                      0,                      0,                      0,                      0,                      0,                      0,                 23.781,                      0,                0.09306,             5.9605e-05,             5.9605e-05
                      5,                      0,                  107.3,                      0,                      0,                      0,                      0,                      0,                      0,                 23.828,                      0,               0.091072,              7.218e-05,              7.218e-05
                      6,                      0,                 114.24,                      0,                      0,                      0,                      0,                      0,                      0,                 23.828,                      0,               0.089083,             8.2775e-05,             8.2775e-05
                      7,                      0,                 116.78,                      0,                      0,                      0,                      0,                      0,                      0,                 24.125,                      0,               0.087091,              9.139e-05,              9.139e-05
                      8,                      0,                 115.71,                      0,                      0,                      0,                      0,                      0,                      0,                 24.422,                      0,               0.085098,             9.8025e-05,             9.8025e-05
                      9,                      0,                  130.9,                      0,                      0,                      0,                      0,                      0,                      0,                 24.422,                      0,               0.083103,             0.00010268,             0.00010268
                     10,                      0,                 120.07,                      0,                      0,                      0,                      0,                      0,                      0,                 25.031,                      0,               0.081105,             0.00010535,             0.00010535
                     11,                      0,                 128.35,                      0,                      0,                      0,                      0,                      0,                      0,                 25.031,                      0,               0.079106,             0.00010605,             0.00010605
                     12,                      0,                 126.28,                      0,                      0,                      0,                      0,                      0,                      0,                 26.469,                      0,               0.077105,             0.00010476,             0.00010476
                     13,                      0,                  124.2,                      0,                      0,                      0,                      0,                      0,                      0,                 26.469,                      0,               0.075102,              0.0001015,              0.0001015
                     14,                      0,                 120.73,                      0,                      0,                      0,                      0,                      0,                      0,                 26.469,                      0,               0.073096,             9.6255e-05,             9.6255e-05
                     15,                      0,                 134.81,                      0,                      0,                      0,                      0,                      0,                      0,                 28.844,                      0,               0.071089,              8.903e-05,              8.903e-05
                     16,                      0,                 119.42,                      0,                      0,                      0,                      0,                      0,                      0,                 28.844,                      0,                0.06908,             7.9825e-05,             7.9825e-05
                     17,                      0,                  131.4,                      0,                      0,                      0,                      0,                      0,                      0,                 28.844,                      0,               0.067069,              6.864e-05,              6.864e-05
                     18,                      0,                 86.883,                      0,                      0,                      0,                      0,                      0,                      0,                 52.312,                      0,               0.065055,             5.5475e-05,             5.5475e-05
                     19,                      0,                  57.47,                      0,                      0,                      0,                      0,                      0,                      0,                 52.312,                      0,                0.06304,              4.033e-05,              4.033e-05
                     20,                      0,                 56.783,                      0,                      0,                      0,                      0,                      0,                      0,                 52.312,                      0,               0.061023,             2.3205e-05,             2.3205e-05
