                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3995,                0.80072,                0.81404,                 0.7161,                0.55479,                0.67551,                0.40655,                 1.2964,                0.98046,                0.82526,               0.067367,             0.00032963,             0.00032963
                      2,                 1.4234,                0.85292,                0.81126,                0.72995,                0.56594,                0.66544,                0.38624,                 1.3599,                0.91119,                0.83033,               0.034334,             0.00063015,             0.00063015
                      3,                 1.4472,                 1.0098,                0.82294,                 0.5865,                0.58598,                0.65269,                0.35237,                 1.4883,                0.92927,                0.83583,               0.001268,             0.00089766,             0.00089766
                      4,                 1.5662,                0.88811,                0.80626,                0.69148,                0.65371,                0.69874,                0.35782,                 1.5143,                0.81522,                0.82509,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.4638,                 0.8781,                0.81026,                0.93877,                0.59862,                0.82658,                0.46635,                 1.3016,                0.76427,                0.82848,               0.000802,               0.000802,               0.000802
                      6,                 1.4662,                0.74918,                0.82047,                0.95768,                0.60343,                0.83958,                0.46385,                 1.3176,                0.67854,                0.82956,              0.0007525,              0.0007525,              0.0007525
                      7,                 1.3929,                0.75179,                0.80624,                0.87112,                0.48719,                0.64399,                0.35596,                 1.3314,                0.78551,                 0.8235,               0.000703,               0.000703,               0.000703
                      8,                 1.4362,                0.76488,                 0.8209,                0.90693,                0.62951,                0.83078,                0.48185,                 1.2693,                0.70051,                0.82302,              0.0006535,              0.0006535,              0.0006535
                      9,                 1.4693,                0.74329,                0.79756,                0.80518,                0.71001,                0.80577,                0.47182,                 1.3126,                0.66903,                0.81918,               0.000604,               0.000604,               0.000604
                     10,                 1.4258,                0.72191,                  0.797,                0.88657,                0.63944,                0.80686,                0.50866,                 1.1646,                0.65718,                0.81297,              0.0005545,              0.0005545,              0.0005545
                     11,                  1.349,                0.66278,                0.79923,                0.89932,                0.61318,                0.84559,                  0.437,                 1.3568,                0.65683,                0.82541,               0.000505,               0.000505,               0.000505
                     12,                 1.3164,                0.66049,                0.80735,                 0.8548,                0.68654,                0.85297,                 0.5061,                 1.2118,                0.64323,                0.81942,              0.0004555,              0.0004555,              0.0004555
                     13,                  1.221,                0.62752,                0.79805,                0.88071,                0.76411,                0.85056,                0.53126,                 1.1478,                0.56965,                0.81884,               0.000406,               0.000406,               0.000406
                     14,                 1.2041,                0.60277,                  0.789,                0.86517,                 0.7454,                0.81603,                0.50928,                 1.1137,                0.58431,                0.81596,              0.0003565,              0.0003565,              0.0003565
                     15,                  1.177,                0.57331,                0.78794,                0.88235,                0.74537,                0.85531,                0.54832,                 1.0629,                0.53031,                0.81449,               0.000307,               0.000307,               0.000307
                     16,                 1.2061,                0.53966,                0.79411,                0.86881,                0.73604,                0.82491,                0.51423,                 1.1164,                0.54044,                0.81256,              0.0002575,              0.0002575,              0.0002575
                     17,                 1.1338,                0.53609,                0.79037,                0.87094,                 0.7655,                0.85313,                0.54853,                 1.0355,                0.51183,                 0.8103,               0.000208,               0.000208,               0.000208
                     18,                 1.0718,                0.54464,                0.78785,                0.90582,                0.75773,                0.85336,                0.56132,                  1.008,                 0.4993,                0.80917,              0.0001585,              0.0001585,              0.0001585
                     19,                 1.0918,                0.51931,                0.79806,                0.89346,                0.78104,                0.85615,                0.57755,                0.98318,                0.49228,                 0.8106,               0.000109,               0.000109,               0.000109
                     20,                 1.0758,                0.49976,                0.80415,                0.90179,                0.79073,                0.85839,                0.56674,                0.98068,                0.49913,                0.80809,               5.95e-05,               5.95e-05,               5.95e-05
