                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3921,                 1.1411,                 1.1854,                0.56995,                0.19187,                 0.2092,                0.11467,                  1.454,                 1.0632,                  1.283,               0.067025,             0.00033308,             0.00033308
                      2,                 1.2284,                0.88678,                 1.1078,                0.60968,                 0.2004,                0.22401,                0.12469,                 1.3575,                0.98505,                 1.2216,               0.034025,             0.00066625,             0.00066625
                      3,                 1.1715,                0.82469,                 1.0837,                0.65122,                0.21482,                0.23827,                0.13873,                 1.2751,                0.87108,                 1.1391,              0.0010238,             0.00099877,             0.00099877
                      4,                 1.1227,                0.77459,                  1.063,                0.63976,                 0.2206,                0.24394,                0.13699,                 1.2726,                0.86936,                 1.1884,              0.0009978,              0.0009978,              0.0009978
                      5,                 1.0986,                0.75061,                 1.0541,                0.61661,                0.23012,                0.25035,                0.14824,                 1.2081,                0.77958,                 1.1312,              0.0009961,              0.0009961,              0.0009961
                      6,                 1.0685,                 0.7249,                 1.0471,                0.57844,                0.23661,                 0.2553,                0.15736,                 1.1384,                0.75372,                 1.0713,             0.00099391,             0.00099391,             0.00099391
                      7,                 1.0451,                0.70538,                 1.0352,                0.60367,                0.23813,                0.26173,                0.16075,                 1.1277,                0.72003,                 1.0677,             0.00099123,             0.00099123,             0.00099123
                      8,                 1.0405,                0.69878,                 1.0361,                0.61527,                0.24024,                0.26909,                0.16392,                  1.148,                0.73124,                 1.1063,             0.00098808,             0.00098808,             0.00098808
                      9,                 1.0207,                0.68141,                 1.0256,                0.60939,                0.24396,                0.26793,                 0.1673,                 1.1015,                0.70863,                 1.0567,             0.00098445,             0.00098445,             0.00098445
                     10,                 1.0045,                0.67087,                  1.019,                0.61041,                0.24426,                0.26985,                0.16694,                 1.1034,                0.70507,                  1.071,             0.00098035,             0.00098035,             0.00098035
                     11,                 1.0065,                0.67422,                 1.0215,                0.64872,                0.24278,                0.27385,                0.16994,                 1.0949,                 0.6926,                 1.0752,             0.00097577,             0.00097577,             0.00097577
                     12,                0.98662,                0.65433,                  1.012,                 0.6545,                0.24481,                0.28209,                0.17485,                 1.0875,                0.68419,                 1.0498,             0.00097074,             0.00097074,             0.00097074
                     13,                0.97627,                0.64372,                 1.0068,                0.65339,                0.24711,                0.28061,                0.17505,                 1.0797,                0.68082,                 1.0628,             0.00096524,             0.00096524,             0.00096524
                     14,                 0.9659,                0.64259,                 1.0051,                0.66139,                0.24527,                 0.2794,                0.17293,                  1.082,                0.68606,                 1.0667,             0.00095929,             0.00095929,             0.00095929
                     15,                0.97249,                0.64382,                 1.0073,                0.64408,                 0.2501,                0.27975,                0.17533,                 1.0506,                0.66962,                 1.0545,             0.00095289,             0.00095289,             0.00095289
                     16,                0.96184,                0.63393,                 1.0037,                0.66708,                 0.2518,                0.28064,                0.17912,                 1.0197,                0.65084,                 1.0257,             0.00094605,             0.00094605,             0.00094605
                     17,                0.95785,                0.62986,                0.99943,                0.65124,                0.25032,                 0.2794,                0.17737,                 1.0341,                0.65806,                  1.033,             0.00093877,             0.00093877,             0.00093877
                     18,                 0.9562,                0.62823,                 1.0002,                0.64487,                0.24813,                0.27997,                0.18003,                 1.0175,                0.64285,                 1.0236,             0.00093107,             0.00093107,             0.00093107
                     19,                0.94453,                0.62012,                0.99585,                 0.6753,                0.24777,                0.28656,                 0.1829,                 1.0286,                0.64959,                 1.0323,             0.00092294,             0.00092294,             0.00092294
                     20,                0.94845,                 0.6243,                0.99847,                0.64744,                0.25071,                0.28109,                0.17848,                 1.0405,                0.65728,                 1.0536,              0.0009144,              0.0009144,              0.0009144
                     21,                0.94444,                0.61812,                0.99454,                0.62023,                0.25384,                0.28353,                0.18034,                 1.0096,                0.63906,                 1.0258,             0.00090546,             0.00090546,             0.00090546
                     22,                0.93084,                0.60692,                0.99127,                0.68787,                0.25422,                0.28657,                0.18099,                 1.0243,                0.64146,                 1.0392,             0.00089613,             0.00089613,             0.00089613
                     23,                0.93854,                0.61568,                 0.9929,                0.64474,                0.25356,                0.28327,                0.18119,                 1.0185,                0.63713,                 1.0316,              0.0008864,              0.0008864,              0.0008864
                     24,                0.92672,                0.60835,                0.99068,                0.67441,                 0.2515,                0.28778,                0.18262,                 1.0343,                0.65392,                 1.0612,              0.0008763,              0.0008763,              0.0008763
                     25,                 0.9198,                0.60346,                0.98838,                0.66097,                0.25795,                0.28763,                0.18312,                 1.0158,                0.63125,                 1.0319,             0.00086584,             0.00086584,             0.00086584
                     26,                0.92441,                0.60296,                0.98758,                0.63254,                 0.2559,                0.28813,                  0.184,                0.99469,                0.62509,                 1.0234,             0.00085502,             0.00085502,             0.00085502
                     27,                0.92282,                0.60697,                0.98831,                0.69993,                 0.2577,                0.29106,                0.18514,                0.99128,                0.62209,                 1.0222,             0.00084385,             0.00084385,             0.00084385
                     28,                0.91439,                0.59256,                0.98398,                0.67611,                0.25375,                0.29154,                0.18567,                 1.0147,                0.62883,                 1.0616,             0.00083235,             0.00083235,             0.00083235
                     29,                0.91503,                0.59772,                0.98226,                0.68544,                0.25769,                0.28957,                0.18717,                0.97645,                0.61812,                 1.0033,             0.00082052,             0.00082052,             0.00082052
                     30,                0.91639,                0.59817,                0.98479,                0.66375,                 0.2575,                0.29054,                0.18714,                0.98473,                0.61726,                 1.0133,             0.00080839,             0.00080839,             0.00080839
                     31,                0.90209,                0.58756,                0.98006,                0.64411,                 0.2614,                0.29362,                0.19042,                0.97029,                 0.6031,                 1.0051,             0.00079595,             0.00079595,             0.00079595
                     32,                0.91028,                0.59577,                0.98081,                0.69467,                0.26047,                0.29249,                0.18619,                 1.0001,                0.62217,                 1.0281,             0.00078323,             0.00078323,             0.00078323
                     33,                0.90984,                0.59338,                0.98061,                0.67613,                0.26021,                0.29313,                0.18888,                0.98695,                0.61634,                 1.0438,             0.00077023,             0.00077023,             0.00077023
                     34,                 0.8959,                0.58411,                0.97765,                0.66563,                0.26132,                0.29301,                0.18899,                0.98998,                0.61594,                 1.0399,             0.00075698,             0.00075698,             0.00075698
                     35,                0.89693,                0.58494,                0.97725,                 0.6694,                0.26161,                0.29432,                 0.1913,                0.95848,                0.60439,                 1.0022,             0.00074347,             0.00074347,             0.00074347
                     36,                0.89494,                0.58119,                 0.9761,                0.69845,                0.25963,                 0.2981,                0.19323,                0.96046,                0.59731,                 1.0098,             0.00072973,             0.00072973,             0.00072973
                     37,                0.89172,                0.57837,                0.97222,                0.65838,                 0.2666,                0.29786,                0.19365,                0.97436,                0.60512,                 1.0395,             0.00071576,             0.00071576,             0.00071576
                     38,                0.88949,                0.58099,                0.97602,                0.67033,                0.26371,                 0.2983,                0.19389,                0.95674,                 0.6064,                0.99999,             0.00070159,             0.00070159,             0.00070159
                     39,                0.89367,                 0.5803,                0.97584,                0.69313,                0.26375,                0.29855,                0.19487,                0.95217,                0.59305,                 1.0091,             0.00068722,             0.00068722,             0.00068722
                     40,                0.88364,                0.57118,                0.97054,                0.65791,                0.26702,                0.29941,                0.19586,                0.93239,                0.58682,                0.98123,             0.00067268,             0.00067268,             0.00067268
                     41,                0.87641,                0.56668,                0.97039,                0.72015,                0.26517,                0.30076,                0.19713,                0.93456,                0.59074,                0.98535,             0.00065796,             0.00065796,             0.00065796
                     42,                0.87627,                0.56566,                0.96727,                0.68647,                0.26478,                 0.3015,                0.19747,                0.94928,                0.58663,                  1.002,              0.0006431,              0.0006431,              0.0006431
                     43,                0.87575,                0.56561,                0.96724,                0.67076,                0.26624,                0.30395,                0.19873,                0.94283,                0.59095,                 1.0046,              0.0006281,              0.0006281,              0.0006281
                     44,                0.86781,                0.56374,                0.96681,                0.68835,                0.26571,                0.29998,                0.19739,                0.93108,                0.58441,                0.98514,             0.00061298,             0.00061298,             0.00061298
                     45,                0.87284,                0.56329,                0.96743,                0.72446,                0.26228,                0.30063,                0.19859,                0.92128,                0.58029,                0.97621,             0.00059775,             0.00059775,             0.00059775
                     46,                0.86437,                0.55873,                 0.9638,                0.68143,                0.27096,                0.30242,                0.19803,                0.92827,                0.57754,                0.99773,             0.00058244,             0.00058244,             0.00058244
                     47,                0.86391,                0.55788,                0.96494,                 0.6919,                0.26768,                0.30216,                0.19806,                0.93516,                0.58285,                0.99501,             0.00056704,             0.00056704,             0.00056704
                     48,                0.86236,                0.55708,                 0.9651,                0.68303,                0.26787,                 0.3048,                0.20006,                0.93443,                0.57988,                0.99595,             0.00055158,             0.00055158,             0.00055158
                     49,                0.85989,                0.55439,                0.96286,                0.67322,                0.26791,                0.30329,                0.20109,                0.91772,                0.56997,                0.98614,             0.00053608,             0.00053608,             0.00053608
                     50,                0.85502,                0.54869,                0.95922,                0.67507,                  0.273,                0.30417,                0.19939,                0.92774,                0.57518,                 1.0016,             0.00052055,             0.00052055,             0.00052055
                     51,                0.85191,                0.54764,                0.95884,                0.70032,                0.27104,                0.30669,                 0.2027,                0.91821,                0.56936,                0.99437,               0.000505,               0.000505,               0.000505
                     52,                0.84995,                0.54711,                0.96079,                0.72256,                0.26907,                0.30764,                0.20293,                0.91921,                0.56434,                 1.0064,             0.00048945,             0.00048945,             0.00048945
                     53,                0.84479,                0.54198,                0.95942,                0.72032,                0.26948,                0.30629,                0.20231,                  0.913,                0.56233,                0.98962,             0.00047392,             0.00047392,             0.00047392
                     54,                0.83995,                0.53976,                0.95431,                 0.7128,                0.26728,                0.30472,                0.20186,                0.91129,                0.56328,                0.98043,             0.00045842,             0.00045842,             0.00045842
                     55,                0.84374,                0.54209,                0.95513,                0.69153,                 0.2698,                0.30742,                0.20191,                0.91742,                 0.5636,                 1.0044,             0.00044296,             0.00044296,             0.00044296
                     56,                0.83614,                0.53521,                0.95357,                0.68916,                0.27246,                0.30787,                0.20461,                0.89874,                0.55968,                0.97391,             0.00042756,             0.00042756,             0.00042756
                     57,                0.83335,                0.53406,                0.95189,                0.67611,                0.27324,                0.30979,                0.20476,                0.90848,                 0.5629,                 0.9867,             0.00041225,             0.00041225,             0.00041225
                     58,                0.83015,                0.53248,                0.95093,                0.69457,                0.27293,                0.30893,                0.20446,                0.91377,                0.56362,                0.99815,             0.00039702,             0.00039702,             0.00039702
                     59,                0.82612,                0.53031,                0.95133,                0.68585,                0.27416,                0.30937,                0.20654,                0.89228,                0.55337,                0.97388,              0.0003819,              0.0003819,              0.0003819
                     60,                0.82807,                0.52649,                 0.9506,                0.69886,                0.27234,                0.30833,                0.20508,                0.89756,                0.55421,                0.97569,              0.0003669,              0.0003669,              0.0003669
                     61,                0.82526,                0.52473,                0.94995,                0.70029,                0.27382,                0.31181,                0.20739,                0.88694,                0.55049,                0.96094,             0.00035204,             0.00035204,             0.00035204
                     62,                0.81605,                0.52136,                0.94768,                0.69621,                0.27443,                0.31312,                0.20777,                0.89384,                 0.5503,                0.98218,             0.00033732,             0.00033732,             0.00033732
                     63,                0.81679,                0.52111,                0.94788,                0.68854,                0.27822,                0.31399,                0.20883,                0.88841,                0.54912,                0.97192,             0.00032278,             0.00032278,             0.00032278
                     64,                0.81683,                0.51998,                0.94747,                0.68428,                0.27707,                0.31343,                0.20861,                0.89631,                0.55054,                0.98415,             0.00030841,             0.00030841,             0.00030841
                     65,                0.81117,                 0.5175,                0.94553,                0.68492,                0.27695,                 0.3135,                0.20937,                0.89571,                0.55093,                0.98174,             0.00029424,             0.00029424,             0.00029424
